Rank,College,City,State,Approval,Exam,Cutoff,First_Year_Fees,Average Package,Highest Package,Rating,Best In,National Rank
1,"BITS Pilani (Pilani Campus), Pilani",Pilani,Rajasthan,[UGC],BITSAT,238,603775,3037000,6075000,4.4,Social Life,8
2,"Indian Institute of Information Technology - IIIT, Allahabad",Allahabad,Uttar Pradesh,[AICTE UGC],JEE-Main,5392,104000,2578000,12100000,4.3,Placements,19
3,"BITS South Goa, South Goa",South Goa,Goa,[UGC],BITSAT,239,603775,2090000,6080000,4.3,Infrastructure,24
4,"BITS Hyderabad, Hyderabad",Hyderabad,Telangana,[AICTE UGC],BITSAT,235,603775,3035000,6075000,4.5,Infrastructure,25
5,"IIIT-Bangalore, Bangalore",Bangalore,Karnataka,[AICTE UGC],JEE-Main,5057,464000,2180000,6500000,4.2,Academics,29
6,"Veermata Jijabai Technological Institute - VJTI, Mumbai",Mumbai,Maharashtra,[AICTE UGC],NA,NA,85551,1300000,5700000,4.1,Placements,40
7,"Vellore Institute of Technology - VIT University, Vellore",Vellore,Tamil Nadu,[AICTE UGC MHRD],VITEEE ,10350,198000,990000,10000000,4.1,Infrastructure,50
8,"R V College of Engineering - RVCE, Bangalore",Bangalore,Karnataka,[AICTE NBA],COMEDK-UGET ,541,127495,1306000,9200000,3.9,Placements,51
9,"Institute of Chemical Technology - ICT, Mumbai",Mumbai,Maharashtra,[UGC NBA MHRD],JEE-Main ,52774,89100,600000,900000,4.3,Academics,53
10,"Birla Institute of Technology - BIT Mesra, Ranchi",Ranchi,Jharkhand,[AICTE PCI UGC NBA],JEE-Main ,19251,438000,1157000,5100000,3.7,Social Life,57
11,"Dhirubhai Ambani Institute of Information and Communication Technology - DA-IICT, Gandhinagar",Gandhinagar,Gujarat,[AIU],JEE-Main ,139,330000,1710000,8200000,4.3,Placements,58
12,"Jaypee Institute of Information Technology University - JIIT, Noida",Noida,Uttar Pradesh,[AICTE UGC NBA],JEE-Main ,128337,406000,871000,6071000,4.3,Infrastructure,59
13,"Manipal Institute of Technology - MIT, Manipal",Manipal,Karnataka,[AICTE NBA],-1,-1,489500,1049000,5103000,5.4,Infrastructure,60
14,"Harcourt Butler Technological University - HBTU, Kanpur",Kanpur,Uttar Pradesh,[AICTE UGC NBA],JEE-Main ,53007,135000,-1,1750000,3.8,Placements,63
15,"Thapar Institute of Engineering and Technology - Thapar University, Patiala",Patiala,Punjab,[AICTE UGC NBA],JEE-Main ,91714,508000,1138000,12300000,3.9,Infrastructure,65
16,"Punjab Engineering College University of Technology - PEC, Chandigarh",Chandigarh,Chandigarh,[AICTE],JEE-Main ,15800,207000,1597000,8300000,5.4,Social Life,67
17,"Indian Institute of Space Science and Technology - IIST, Thiruvananthapuram",Thiruvananthapuram,Kerala,[AICTE UGC],-1,-1,144900,1000000,2800000,4.1,Academics,71
18,"Ramaiah Institute of Technology - RIT, Bangalore",Bangalore,Karnataka,[AICTE NBA],COMEDK-UGET ,2617,314087,-1,5800000,5.4,Infrastructure,76
19,"BMS College of Engineering - BMSCE, Bangalore",Bangalore,Karnataka,[AICTE NBA],COMEDK-UGET ,3038,850000,1003000,3310000,4.1,Social Life,78
20,"Sardar Patel Institute of Technology - SPIT, Mumbai",Mumbai,Maharashtra,[AICTE NBA],JEE-Main ,23348,196000,1514000,6155000,5.4,Placements,82
21,"SRM Institute of Science and Technology - SRMIST, Chennai",Chennai,Tamil Nadu,[UGC],-1,-1,275000,660000,5500000,5.4,Infrastructure,83
